               kpt            disp_1            disp_2
        1.72973734     -486.82008809      486.81963672
        1.73313565     -486.49883786      486.49838678
        1.73653395     -486.17865198      486.17820121
        1.73993226     -485.85963770      485.85918722
        1.74333056     -485.54190198      485.54145179
        1.74672887     -485.22555153      485.22510164
        1.75012717     -484.91069275      484.91024315
        1.75352548     -484.59743170      484.59698239
        1.75692378     -484.28587405      484.28542503
        1.76032209     -483.97612505      483.97567632
        1.76372039     -483.66828952      483.66784107
        1.76711870     -483.36247177      483.36202360
        1.77051700     -483.05877559      483.05832771
        1.77391531     -482.75730423      482.75685662
        1.77731361     -482.45816030      482.45771298
        1.78071192     -482.16144583      482.16099878
        1.78411022     -481.86726214      481.86681536
        1.78750853     -481.57570986      481.57526335
        1.79090684     -481.28688888      481.28644263
        1.79430514     -481.00089828      481.00045231
        1.79770345     -480.71783637      480.71739066
        1.80110175     -480.43780058      480.43735512
        1.80450006     -480.16088744      480.16044224
        1.80789836     -479.88719256      479.88674762
        1.81129667     -479.61681061      479.61636592
        1.81469497     -479.34983522      479.34939078
        1.81809328     -479.08635902      479.08591482
        1.82149158     -478.82647353      478.82602957
        1.82488989     -478.57026919      478.56982547
        1.82828819     -478.31783528      478.31739179
        1.83168650     -478.06925990      478.06881665
        1.83508480     -477.82462994      477.82418691
        1.83848311     -477.58403102      477.58358821
        1.84188141     -477.34754748      477.34710490
        1.84527972     -477.11526236      477.11481998
        1.84867802     -476.88725730      476.88681514
        1.85207633     -476.66361257      476.66317062
        1.85547463     -476.44440703      476.44396528
        1.85887294     -476.22971806      476.22927651
        1.86227124     -476.01962154      476.01918018
        1.86566955     -475.81419185      475.81375068
        1.86906785     -475.61350179      475.61306081
        1.87246616     -475.41762259      475.41718179
        1.87586446     -475.22662384      475.22618322
        1.87926277     -475.04057349      475.04013304
        1.88266108     -474.85953782      474.85909754
        1.88605938     -474.68358138      474.68314126
        1.88945769     -474.51276699      474.51232703
        1.89285599     -474.34715569      474.34671589
        1.89625430     -474.18680675      474.18636709
        1.89965260     -474.03177759      474.03133808
        1.90305091     -473.88212380      473.88168442
        1.90644921     -473.73789909      473.73745984
        1.90984752     -473.59915526      473.59871615
        1.91324582     -473.46594221      473.46550322
        1.91664413     -473.33830787      473.33786900
        1.92004243     -473.21629823      473.21585947
        1.92344074     -473.09995726      473.09951861
        1.92683904     -472.98932693      472.98888838
        1.93023735     -472.88444719      472.88400874
        1.93363565     -472.78535592      472.78491756
        1.93703396     -472.69208897      472.69165069
        1.94043226     -472.60468005      472.60424186
        1.94383057     -472.52316083      472.52272272
        1.94722887     -472.44756082      472.44712278
        1.95062718     -472.37790742      472.37746944
        1.95402548     -472.31422588      472.31378796
        1.95742379     -472.25653930      472.25610143
        1.96082209     -472.20486862      472.20443080
        1.96422040     -472.15923258      472.15879480
        1.96761870     -472.11964776      472.11921002
        1.97101701     -472.08612855      472.08569084
        1.97441532     -472.05868711      472.05824942
        1.97781362     -472.03733341      472.03689575
        1.98121193     -472.02207523      472.02163758
        1.98461023     -472.01291810      472.01248045
        1.98800854     -472.00986535      472.00942771
        1.99140684     -471.99047512      471.99003748
        1.99480515     -471.93230565      471.93186801
        1.99820345     -471.83536055      471.83492291
        2.00160176     -471.69964587      471.69920823
        2.00500006     -471.52517009      471.52473244
        2.00839837     -471.31194407      471.31150642
        2.01179667     -471.05998114      471.05954349
        2.01519498     -470.76929704      470.76885939
        2.01859328     -470.43990994      470.43947229
        2.02199159     -470.07184047      470.07140281
        2.02538989     -469.66511167      469.66467401
        2.02878820     -469.21974906      469.21931140
        2.03218650     -468.73578062      468.73534295
        2.03558481     -468.21323678      468.21279910
        2.03898311     -467.65215044      467.65171277
        2.04238142     -467.05255701      467.05211933
        2.04577972     -466.41449438      466.41405669
        2.04917803     -465.73800292      465.73756523
        2.05257633     -465.02312555      465.02268785
        2.05597464     -464.26990769      464.26946998
        2.05937295     -463.47839729      463.47795958
        2.06277125     -462.64864487      462.64820715
        2.06616956     -461.78070350      461.78026577
        2.06956786     -460.87462880      460.87419106
        2.07296617     -459.93047900      459.93004125
        2.07636447     -458.94831490      458.94787715
        2.07976278     -457.92819995      457.92776219
        2.08316108     -456.87020018      456.86976241
        2.08655939     -455.77438427      455.77394650
        2.08995769     -454.64082357      454.64038578
        2.09335600     -453.46959206      453.46915427
        2.09675430     -452.26076643      452.26032863
        2.10015261     -451.01442605      451.01398824
        2.10355091     -449.73065298      449.73021516
        2.10694922     -448.40953201      448.40909419
        2.11034752     -447.05115069      447.05071285
        2.11374583     -445.65559927      445.65516143
        2.11714413     -444.22297081      444.22253295
        2.12054244     -442.75336110      442.75292323
        2.12394074     -441.24686875      441.24643088
        2.12733905     -439.70359517      439.70315728
        2.13073735     -438.12364456      438.12320666
        2.13413566     -436.50712398      436.50668607
        2.13753396     -434.85414330      434.85370538
        2.14093227     -433.16481527      433.16437734
        2.14433057     -431.43925549      431.43881755
        2.14772888     -429.67758244      429.67714449
        2.15112719     -427.87991749      427.87947953
        2.15452549     -426.04638489      426.04594692
        2.15792380     -424.17711182      424.17667384
        2.16132210     -422.27222837      422.27179038
        2.16472041     -420.33186757      420.33142957
        2.16811871     -418.35616537      418.35572735
        2.17151702     -416.34526067      416.34482264
        2.17491532     -414.29929533      414.29885729
        2.17831363     -412.21841417      412.21797612
        2.18171193     -410.10276497      410.10232692
        2.18511024     -407.95249851      407.95206044
        2.18850854     -405.76776852      405.76733045
        2.19190685     -403.54873175      403.54829366
        2.19530515     -401.29554791      401.29510982
        2.19870346     -399.00837974      399.00794163
        2.20210176     -396.68739294      396.68695483
        2.20550007     -394.33275626      394.33231814
        2.20889837     -391.94464143      391.94420330
        2.21229668     -389.52322320      389.52278505
        2.21569498     -387.06867932      387.06824117
        2.21909329     -384.58119057      384.58075241
        2.22249159     -382.06094074      382.06050256
        2.22588990     -379.50811662      379.50767844
        2.22928820     -376.92290803      376.92246984
        2.23268651     -374.30550780      374.30506960
        2.23608481     -371.65611177      371.65567356
        2.23948312     -368.97491879      368.97448058
        2.24288143     -366.26213073      366.26169251
        2.24627973     -363.51795244      363.51751421
        2.24967804     -360.74259180      360.74215356
        2.25307634     -357.93625968      357.93582143
        2.25647465     -355.09916992      355.09873167
        2.25987295     -352.23153940      352.23110114
        2.26327126     -349.33358794      349.33314967
        2.26666956     -346.40553835      346.40510008
        2.27006787     -343.44761643      343.44717816
        2.27346617     -340.46005094      340.45961266
        2.27686448     -337.44307359      337.44263530
        2.28026278     -334.39691904      334.39648075
        2.28366109     -331.32182492      331.32138662
        2.28705939     -328.21803178      328.21759347
        2.29045770     -325.08578309      325.08534477
        2.29385600     -321.92532525      321.92488693
        2.29725431     -318.73690758      318.73646926
        2.30065261     -315.52078229      315.52034396
        2.30405092     -312.27720447      312.27676614
        2.30744922     -309.00643212      309.00599379
        2.31084753     -305.70872608      305.70828774
        2.31424583     -302.38435005      302.38391171
        2.31764414     -299.03357060      299.03313226
        2.32104244     -295.65665711      295.65621877
        2.32444075     -292.25388180      292.25344345
        2.32783906     -288.82551967      288.82508132
        2.33123736     -285.37184855      285.37141019
        2.33463567     -281.89314902      281.89271066
        2.33803397     -278.38970444      278.38926608
        2.34143228     -274.86180093      274.86136257
        2.34483058     -271.30972734      271.30928898
        2.34822889     -267.73377523      267.73333687
        2.35162719     -264.13423888      264.13380051
        2.35502550     -260.51141524      260.51097687
        2.35842380     -256.86560395      256.86516558
        2.36182211     -253.19710728      253.19666892
        2.36522041     -249.50623017      249.50579180
