              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]     Re{Delta_1}[1,2]     Im{Delta_1}[1,2]     Re{Delta_1}[2,2]     Im{Delta_1}[2,2]
     0.10449850235777     0.38304389091129    -1.22210347764333     0.30228376524089    -0.37742905456133    -0.67455486319045    -4.62929810443854     1.55834430151245    -0.50415675926624
     0.31349550707332    -0.07981872695359    -1.07666211549546     0.32572396030010    -0.37841911717542    -1.08698012884075    -2.38838193269154     1.30894898246493    -0.91384493114803
     0.52249251178887    -0.24888040199275    -1.02368356466579     0.30422576636221    -0.44265168065446    -1.01217746417266    -1.89749525143221     1.01604360729805    -1.11053311244773
     0.73148951650442    -0.35251697213827    -1.00211522670906     0.27384188769487    -0.49840242359273    -0.95017284495793    -1.65209319047633     0.76791050272145    -1.17025229621316
     0.94048652121997    -0.42109251283698    -0.98644206726650     0.24123644537988    -0.54054412312846    -0.90486371153747    -1.49488201341882     0.57916196814538    -1.16579488256385
     1.14948352593552    -0.47077977121557    -0.97161585583394     0.20867627202519    -0.57167265859269    -0.86946363840325    -1.38065650299494     0.43559587232631    -1.13429551798774
     1.35848053065106    -0.50619656835953    -0.95633470456247     0.17770127601557    -0.59279926550312    -0.84111686700068    -1.29376694572325     0.32751192972579    -1.09274204339313
     1.56747753536661    -0.53148472389316    -0.94096436365621     0.14909754400166    -0.60612117875963    -0.81740956501194    -1.22510810929277     0.24507015780746    -1.04872402104214
     1.77647454008216    -0.54963875000767    -0.92595803854839     0.12309546837731    -0.61368235190040    -0.79676639386553    -1.16907403391325     0.18095737075442    -1.00542689892371
     1.98547154479771    -0.56252145420586    -0.91157161997021     0.09969352324299    -0.61694733054347    -0.77825847425083    -1.12223139670075     0.13029209389294    -0.96420280267814
     2.19446854951326    -0.57130453714684    -0.89792073699287     0.07880641000274    -0.61694696322978    -0.76131281811997    -1.08239341470653     0.08979201622236    -0.92559907660930
     2.40346555422881    -0.57680426468916    -0.88504241445027     0.06029988633541    -0.61445744815319    -0.74554082408136    -1.04806452250066     0.05714769922653    -0.88976162442817
     2.61246255894436    -0.57964959624872    -0.87292706599878     0.04399941829416    -0.61009451077180    -0.73066119065490    -1.01814903960469     0.03066296556736    -0.85662319991195
     2.82145956365990    -0.58035040494774    -0.86153583347850     0.02970303640901    -0.60435174713728    -0.71646655313366    -0.99180657150842     0.00905655771591    -0.82600944471380
     3.03045656837545    -0.57932410890181    -0.85081249372811     0.01719826000971    -0.59761895550145    -0.70280566299309    -0.96837766281932    -0.00865461304669    -0.79770239805148
     3.23945357309100    -0.57690974042153    -0.84069249591321     0.00627722212833    -0.59019704039562    -0.68957053332793    -0.94734045123659    -0.02323156569747    -0.77147699142420
     3.44845057780655    -0.57337971783260    -0.83110953537940    -0.00325314828304    -0.58231343543466    -0.67668579817757    -0.92828103584069    -0.03526717643017    -0.74711997826615
     3.65744758252210    -0.56895141242912    -0.82199989430915    -0.01156603479778    -0.57413734789266    -0.66409993043757    -0.91087078384683    -0.04522620641189    -0.72443810039613
     3.86644458723765    -0.56379809078364    -0.81330496029778    -0.01881346123530    -0.56579346188237    -0.65177831948797    -0.89484811504343    -0.05347554624803    -0.70326020445102
