              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]     Re{Delta_1}[1,2]     Im{Delta_1}[1,2]     Re{Delta_1}[2,2]     Im{Delta_1}[2,2]
     0.10449850235777     0.38106788454374    -1.21907494382999     0.30127330906740    -0.37620016364242    -0.70110633987426    -4.63571098378963     1.56030023202531    -0.50583475165433
     0.31349550707332    -0.07909036399828    -1.07545424228434     0.32515643276507    -0.37843413453959    -1.08925269865268    -2.38759493744153     1.30964066750985    -0.91554142308135
     0.52249251178887    -0.24966046971434    -1.02315041478899     0.30369405554147    -0.44285106975111    -1.01248975544275    -1.89698214971726     1.01552071250260    -1.11168193176656
     0.73148951650442    -0.35233224047464    -1.00090321338175     0.27335762474767    -0.49840397206081    -0.95035441256519    -1.65171549293036     0.76713923402781    -1.17106482212929
     0.94048652121997    -0.42096347040505    -0.98605446020484     0.24108333678794    -0.54060964080652    -0.90494473635738    -1.49482682583650     0.57847277542708    -1.16646092980411
     1.14948352593552    -0.47060288147900    -0.97111804862247     0.20817580322323    -0.57191242526651    -0.86961620485332    -1.38067766510215     0.43535492626128    -1.13487631369324
     1.35848053065106    -0.50604690743565    -0.95585781949732     0.17698681410758    -0.59298574393285    -0.84127890189118    -1.29373630566973     0.32748630715061    -1.09313825750030
     1.56747753536661    -0.53140970069693    -0.94066387964017     0.14842579300642    -0.60612823164502    -0.81756979701149    -1.22498600695942     0.24503551537539    -1.04891664639677
     1.77647454008216    -0.54963006520181    -0.92579873686766     0.12256016067324    -0.61350894306782    -0.79696113267847    -1.16887736920170     0.18082563191106    -1.00548682330058
     1.98547154479771    -0.56255023600914    -0.91144535084851     0.09927833270114    -0.61664127688414    -0.77851713043540    -1.12199864829513     0.13006293898141    -0.96422267911060
     2.19446854951326    -0.57134622551169    -0.89774496392953     0.07847220621906    -0.61656208736930    -0.76163758723118    -1.08215916758583     0.08949845137484    -0.92564743937608
     2.40346555422881    -0.57684571399185    -0.88478783943647     0.06002241757872    -0.61404069230075    -0.74591255360855    -1.04784914222134     0.05682649794643    -0.88987081294908
     2.61246255894436    -0.57968706459247    -0.87260534223066     0.04377113953476    -0.60968363026231    -0.73105233672653    -1.01795889216756     0.03034325815226    -0.85679607859422
     2.82145956365990    -0.58038536771676    -0.86117749322471     0.02952350373728    -0.60397471586566    -0.71685136577372    -0.99163863880356     0.00875736690795    -0.82623142304539
     3.03045656837545    -0.57935982785595    -0.85044951843852     0.01706607417992    -0.59729359208544    -0.70316534033966    -0.96822456611864    -0.00892327587209    -0.79795197236209
     3.23945357309100    -0.57694920939638    -0.84034892330498     0.00618675060917    -0.58993142432195    -0.68989438886562    -0.94719416991208    -0.02346652965829    -0.77173277821736
     3.44845057780655    -0.57342475297834    -0.83079862519132    -0.00331141422568    -0.58210738504852    -0.67697017340014    -0.92813501208337    -0.03546989202530    -0.74736444732650
     3.65744758252210    -0.56900248106436    -0.82172520832460    -0.01160349847736    -0.57398464473453    -0.66434623880246    -0.91072072831452    -0.04540086190658    -0.72465892567897
     3.86644458723765    -0.56385453000433    -0.81306311870927    -0.01884129297408    -0.56568427933466    -0.65199105674075    -0.89469198418681    -0.05362762603859    -0.70345016831057
     4.07544159195319    -0.55811891741947    -0.80475608680732    -0.02515492582200    -0.55729638210440    -0.63988317933797    -0.87984136965244    -0.06044240872820    -0.68359248642771
     4.28443859666874    -0.55190747565355    -0.79675692745198    -0.03065578043849    -0.54888842616258    -0.62800794518191    -0.86600157768304    -0.06607916782566    -0.66495809099600
     4.49343560138429    -0.54531200353549    -0.78902654622375    -0.03543963138207    -0.54051131348561    -0.61635527176762    -0.85303629573334    -0.07072694799760    -0.64743457958034
     4.70243260609984    -0.53840887759868    -0.78153267356838    -0.03958946131179    -0.53220365274841    -0.60491818073078    -0.84083327785259    -0.07453993167134    -0.63092267959167
     4.91142961081539    -0.53126243203535    -0.77424861551838    -0.04317776842369    -0.52399476384901    -0.59369180537472    -0.82929912025690    -0.07764500504936    -0.61533433802666
     5.12042661553094    -0.52392740881635    -0.76715215621277    -0.04626836143637    -0.51590680500291    -0.58267271184089    -0.81835533509595    -0.08014747012762    -0.60059114559502
     5.32942362024649    -0.51645073482108    -0.76022465584112    -0.04891772171416    -0.50795631054528    -0.57185842459138    -0.80793539446684    -0.08213538126510    -0.58662304518112
     5.53842062496203    -0.50887282708488    -0.75345033903384    -0.05117603401568    -0.50015533649894    -0.56124708712555    -0.79798248968351    -0.08368286376954    -0.57336726789542
     5.74741762967758    -0.50122857441511    -0.74681574699196    -0.05308797947623    -0.49251234259482    -0.55083721491397    -0.78844781357628    -0.08485267853690    -0.56076744627634
     5.95641463439313    -0.49354809962217    -0.74030932034902    -0.05469336524653    -0.48503289205169    -0.54062751368764    -0.77928922443914    -0.08569822615393    -0.54877286446967
     6.16541163910868    -0.48585737285740    -0.73392108139858    -0.05602764451687    -0.47772021960461    -0.53061674595718    -0.77047018949291    -0.08626513151306    -0.53733781521366
     6.37440864382423    -0.47817872219065    -0.72764238928904    -0.05712236294017    -0.47057569922768    -0.52080363435483    -0.76195893500100    -0.08659251164998    -0.52642104169204
     6.58340564853978    -0.47053127077427    -0.72146574763786    -0.05800555397866    -0.46359923178480    -0.51118679373259    -0.75372775143264    -0.08671400171161    -0.51598524851570
     6.79240265325532    -0.46293131890958    -0.71538464937764    -0.05870209639887    -0.45678956645127    -0.50176468594901    -0.74575241712523    -0.08665859396546    -0.50599667046662
     7.00139965797087    -0.45539268233373    -0.70939344811887    -0.05923404114047    -0.45014456620556    -0.49253559253330    -0.73801171444706    -0.08645133038952    -0.49642469063129
     7.21039666268642    -0.44792699381886    -0.70348724871209    -0.05962091128415    -0.44366142567530    -0.48349760128723    -0.73048701972721    -0.08611387908486    -0.48724150152643
     7.41939366740197    -0.44054397271634    -0.69766181217365    -0.05987997698166    -0.43733684839918    -0.47464860354972    -0.72316195321546    -0.08566501734140    -0.47842180412208
     7.62839067211752    -0.43325166573192    -0.69191347184591    -0.06002650640045    -0.43116718970567    -0.46598629940328    -0.71602207876132    -0.08512103883231    -0.46994254052450
     7.83738767683307    -0.42605666151434    -0.68623905878726    -0.06007399351351    -0.42514857069922    -0.45750820858057    -0.70905464525908    -0.08449609850922    -0.46178265666425
     8.04638468154861    -0.41896428128749    -0.68063583511124    -0.06003436362951    -0.41927696820810    -0.44921168524826    -0.70224836357453    -0.08380250588322    -0.45392289176541
     8.25538168626416    -0.41197874759174    -0.67510143441030    -0.05991815775085    -0.41354828492987    -0.44109393521613    -0.69559321384317    -0.08305097523184    -0.44634559169463
     8.46437869097971    -0.40510333310588    -0.66963380863954    -0.05973469704319    -0.40795840342992    -0.43315203443577    -0.68908027890583    -0.08225083963675    -0.43903454356941
     8.67337569569526    -0.39834049144406    -0.66423118096661    -0.05949222884728    -0.40250322710782    -0.42538294792347    -0.68270160031173    -0.08141023449939    -0.43197482925041
     8.88237270041081    -0.39169197174784    -0.65889200414118    -0.05919805576810    -0.39717871074420    -0.41778354846511    -0.67645005383870    -0.08053625519798    -0.42515269556847
     9.09136970512636    -0.38515891879680    -0.65361492396318    -0.05885864940442    -0.39198088279738    -0.41035063464409    -0.67031924190263    -0.07963509276673    -0.41855543934894
     9.30036670984191    -0.37874196025243    -0.64839874743480    -0.05847975026665    -0.38690586123118    -0.40308094787832    -0.66430340058355    -0.07871215084614    -0.41217130549619
     9.50936371455745    -0.37244128252957    -0.64324241518345    -0.05806645537014    -0.38194986431740    -0.39597118826763    -0.65839731929339    -0.07777214663991    -0.40598939658545
     9.71836071927300    -0.36625669666099    -0.63814497774630    -0.05762329490532    -0.37710921757457    -0.38901802913977    -0.65259627136946    -0.07681919818917    -0.39999959258246
     9.92735772398855    -0.36018769539158    -0.63310557531979    -0.05715429927796    -0.37238035776868    -0.38221813025025    -0.64689595410232    -0.07585689992307    -0.39419247946894
    10.13635472870410    -0.35423350261140    -0.62812342058887    -0.05666305770052    -0.36775983470414    -0.37556814963900    -0.64129243690233    -0.07488838815043    -0.38855928569557
    10.34535173341965    -0.34839311611371    -0.62319778427573    -0.05615276939475    -0.36324431137828    -0.36906475418083    -0.63578211648360    -0.07391639790790    -0.38309182551634
    10.55434873813520    -0.34266534455157    -0.61832798306782    -0.05562628835361    -0.35883056294097    -0.36270462889125    -0.63036167809087    -0.07294331237396    -0.37778244837009
    10.76334574285074    -0.33704883935921    -0.61351336961435    -0.05508616249835    -0.35451547480175    -0.35648448506241    -0.62502806193065    -0.07197120587836    -0.37262399358398
    10.97234274756629    -0.33154212231031    -0.60875332430702    -0.05453466796708    -0.35029604014406    -0.35040106731399    -0.61977843407974    -0.07100188138894    -0.36760974976090
    11.18133975228184    -0.32614360929839    -0.60404724858934    -0.05397383917718    -0.34616935704282    -0.34445115964679    -0.61461016124679    -0.07003690322961    -0.36273341829481
    11.39033675699739    -0.32085163084807    -0.59939455956694    -0.05340549522067    -0.34213262533308    -0.33863159058746    -0.60952078884764    -0.06907762567459    -0.35798908053063
    11.59933376171294    -0.31566444979831    -0.59479468571707    -0.05283126307752    -0.33818314333775    -0.33293923751073    -0.60450802193280    -0.06812521797300    -0.35337116814300
    11.80833076642849    -0.31058027653953    -0.59024706352126    -0.05225259806627    -0.33431830453426    -0.32737103022197    -0.59956970856882    -0.06718068627815    -0.34887443636621
    12.01732777114404    -0.30559728213451    -0.58575113486704    -0.05167080189388    -0.33053559421625    -0.32192395387823    -0.59470382533275    -0.06624489289014    -0.34449393975143
    12.22632477585958    -0.30071360960768    -0.58130634508631    -0.05108703861727    -0.32683258619166    -0.31659505132021    -0.58990846462730    -0.06531857316225    -0.34022501016992
    12.43532178057513    -0.29592738364907    -0.57691214151685    -0.05050234878505    -0.32320693954368    -0.31138142488281    -0.58518182356578    -0.06440235037348    -0.33606323681533
    12.64431878529068    -0.29123671894462    -0.57256797248895    -0.04991766199162    -0.31965639547307    -0.30628023774555    -0.58052219421121    -0.06349674882815    -0.33200444798812
    12.85331579000623    -0.28663972731603    -0.56827328665613    -0.04933380804310    -0.31617877423407    -0.30128871487897    -0.57592795498690    -0.06260220540682    -0.32804469447423
    13.06231279472178    -0.28213452382797    -0.56402753259965    -0.04875152690680    -0.31277197216852    -0.29640414363788    -0.57139756309851    -0.06171907976374    -0.32418023434958
    13.27130979943733    -0.27771923199926    -0.55983015864929    -0.04817147759383    -0.30943395884403    -0.29162387404713    -0.56692954783414    -0.06084766333863    -0.32040751906547
    13.48030680415287    -0.27339198823569    -0.55568061287217    -0.04759424610212    -0.30616277429387    -0.28694531882083    -0.56252250462480    -0.05998818732897    -0.31672318068422
    13.68930380886842    -0.26915094558622    -0.55157834318801    -0.04702035253166    -0.30295652635932    -0.28236595315235    -0.55817508976554    -0.05914082974988    -0.31312402015231
    13.89830081358397    -0.26499427691271    -0.54752279758502    -0.04645025746896    -0.29981338813473    -0.27788331430607    -0.55388601571521    -0.05830572168955    -0.30960699650970
    14.10729781829952    -0.26092017754342    -0.54351342438610    -0.04588436772103    -0.29673159549782    -0.27349500104537    -0.54965404688827    -0.05748295286435    -0.30616921694249
    14.31629482301507    -0.25692686749536    -0.53954967261676    -0.04532304148239    -0.29370944477330    -0.26919867290612    -0.54547799591569    -0.05667257653107    -0.30280792761292
    14.52529182773062    -0.25301259327236    -0.53563099224606    -0.04476659297137    -0.29074529037479    -0.26499204938649    -0.54135672020194    -0.05587461390481    -0.29952050515439
    14.73428883244616    -0.24917562941380    -0.53175683484533    -0.04421529665278    -0.28783754282208    -0.26087290894650    -0.53728911904670    -0.05508905794966    -0.29630444888162
    14.94328583716171    -0.24541427956815    -0.52792665332385    -0.04366939098187    -0.28498466618305    -0.25683908813620    -0.53327413053407    -0.05431587706005    -0.29315737338124
    15.15228284187726    -0.24172687763274    -0.52413990355993    -0.04312908186920    -0.28218517693698    -0.25288848022669    -0.52931072977236    -0.05355501771383    -0.29007700204611
    15.36127984659281    -0.23811178821046    -0.52039604261259    -0.04259454582037    -0.27943764052637    -0.24901903457256    -0.52539792539529    -0.05280640792986    -0.28706116030059
    15.57027685130836    -0.23456740733739    -0.51669453217893    -0.04206593243942    -0.27674067163037    -0.24522875469273    -0.52153475932208    -0.05206995870370    -0.28410777056711
    15.77927385602391    -0.23109216294806    -0.51303483531807    -0.04154336782670    -0.27409292995006    -0.24151569799769    -0.51772030278894    -0.05134556729176    -0.28121484581153
    15.98827086073946    -0.22768451433288    -0.50941641964875    -0.04102695519211    -0.27149312022519    -0.23787797364448    -0.51395365629420    -0.05063311838104    -0.27838048552474
