[-0.2209728666523207 0.0 0.03406345290952367 -0.0; -0.0 0.17053068116661982 -0.0 0.0340598633683688; 0.0340634671343627 0.0 0.17050561178610657 -0.0; -0.0 0.03405987758547602 -0.0 -0.22094965526981047]	[-0.002435521796489596 -0.0 0.00040867078950495634 -0.0; -0.0 -0.0023818452484241845 -0.0 0.00040948936245353146; 0.00039682055472189145 -0.0 -0.0023797999236727686 -0.0; -0.0 0.00039763929893460616 -0.0 -0.002439308238703808]
[-0.22079912691507125 0.0 0.03402767074030022 -0.0; -0.0 0.1704283563580935 -0.0 0.03402366396312606; 0.034027713396584225 0.0 0.17040289023617072 -0.0; -0.0 0.03402370659693421 -0.0 -0.22077399535806558]	[-0.0073001149535491805 -0.0 0.0012128736380390896 -0.0; -0.0 -0.007139364536242115 -0.0 0.0012152845111716415; 0.001201021453034471 -0.0 -0.007133301648964099 -0.0; -0.0 0.0012034324876239921 -0.0 -0.007311261014436618]
[-0.22045268827128162 0.0 0.033956389110171736 -0.0; -0.0 0.17022409153470305 -0.0 0.03395156806977451; 0.03395646014318321 0.0 0.1701978536638043 -0.0; -0.0 0.03395163906768833 -0.0 -0.2204238086828289]	[-0.012145425495907525 -0.0 0.0020132256302111203 -0.0; -0.0 -0.011878437136257636 -0.0 0.0020170961568216693; 0.0020013695576836803 -0.0 -0.011868571961665991 -0.0; -0.0 0.0020052402265832206 -0.0 -0.01216330244381944]
[-0.2199356144832295 -0.0 0.0338501394488982 -0.0; -0.0 0.16991865386136548 -0.0 0.03384414628140725; 0.03385023876737414 -0.0 0.16989131163176946 -0.0; -0.0 0.03384424555556498 -0.0 -0.21990133821070268]	[-0.016958825624886542 -0.0 0.0028072136714730987 0.0; 0.0 -0.016586986459160902 -0.0 0.0028123306428026185; 0.0027953517997211024 -0.0 -0.01657366490080492 0.0; -0.0 0.0028004688856686677 -0.0 -0.016982421678537946]
[-0.21925095706226694 -0.0 0.033709705316131156 -0.0; -0.0 0.1695131880673063 -0.0 0.033702237840344096; 0.03370983279217349 -0.0 0.16948446975942222 -0.0; -0.0 0.033702365267350376 -0.0 -0.21920989110672778]	[-0.021728022587580914 -0.0 0.0035924051753264095 0.0; 0.0 -0.021253261127151674 -0.0 0.003598486033659698; 0.0035805356304511268 -0.0 -0.02123694168610482 0.0; -0.0 0.003586616568437251 -0.0 -0.02175599442122353]
[-0.21840270399935507 -0.0 0.033536106716028524 -0.0; -0.0 0.1690092092674229 -0.0 0.03352693158028497; 0.03353626218502698 -0.0 0.16897891927529235 -0.0; -0.0 0.03352708700087281 -0.0 -0.2183537728306426]	[-0.026441181221009302 -0.0 0.004366476983725085 0.0; 0.0 -0.025865952392728875 -0.0 0.004373184387210266; 0.004354597941144521 -0.0 -0.025847183251404615 0.0; -0.0 0.004361305383500552 -0.0 -0.02647192104206636]
[-0.2173957141181888 -0.0 0.03333058015046758 -0.0; -0.0 0.16840859332896183 -0.0 0.033319541945189435; 0.03333076341105623 -0.0 0.16837662314131757 -0.0; -0.0 0.03331972516389786 -0.0 -0.21733820377706803]	[-0.03108703562776416 -0.0 0.005127241206465474 0.0; 0.0 -0.030414299963225866 -0.0 0.005134199941170731; 0.005115350901547342 -0.0 -0.030393692986353193 0.0; -0.0 0.005122309630176739 -0.0 -0.03111874939199938]
[-0.21623563917917066 -0.0 0.03309455515919735 -0.0; -0.0 0.1677135645833574 -0.0 0.03308158115497123; 0.03309476597329419 -0.0 0.16767989882582418 -0.0; -0.0 0.03308179193986083 -0.0 -0.21616922190416737]	[-0.03565498769616715 -0.0 0.005872667372884053 0.0; 0.0 -0.034888184178271 -0.0 0.005879482489936222; 0.005860764110540144 -0.0 -0.03486638762701738 0.0; -0.0 0.005867579174134143 -0.0 -0.035685779506183346]
[-0.21492883616889624 -0.0 0.03282962819075541 -0.0; -0.0 0.16692668061399907 -0.0 0.03281472868782964; 0.032829866283719755 -0.0 0.1668913978536408 -0.0; -0.0 0.03281496677031881 -0.0 -0.21485357516888431]	[-0.04013519071485766 -0.0 0.00660090046434917 0.0; -0.0 -0.039278203118375765 -0.0 0.006607175502457402; 0.006588982627464389 -0.0 -0.03925587471875641 -0.0; -0.0 0.006595257564012243 -0.0 -0.04016314834295048]
[-0.21348227239253237 -0.0 0.03253753469515336 -0.0; -0.0 0.16605081386939968 -0.0 0.03252079927025353; 0.032537799756094665 -0.0 0.1660140823257601 -0.0; -0.0 0.032521064345138906 -0.0 -0.21339860770463187]	[-0.04451861691162151 -0.0 0.00731027458097417 0.0; -0.0 -0.043575733825705676 -0.0 0.007315628811874086; 0.007298340637586235 -0.0 -0.04355351559487841 -0.0; -0.0 0.007303694719722115 -0.0 -0.04454189367141148]
