[-0.220884559737193 0.0 0.03403975220399935 -0.0; -0.0 0.1706087898013355 -0.0 0.034053734691865734; 0.034039766423282714 0.0 0.17048919730095635 -0.0; -0.0 0.034053748948564555 -0.0 -0.22089786329135686]	[-0.002431659725431641 -0.0 0.0004079360919034369 -0.0; -0.0 -0.0023842537871984135 -0.0 0.00040909515487518386; 0.00039608474189644234 -0.0 -0.002377057965575559 -0.0; -0.0 0.00039724583055267986 -0.0 -0.0024380594049859122]
[-0.22071153649349773 0.0 0.03400413750394399 -0.0; -0.0 0.1705056978294426 -0.0 0.034017587033787766; 0.03400418014354378 0.0 0.17038657889222542 -0.0; -0.0 0.03401762978561568 -0.0 -0.22072259395664962]	[-0.007288578042359314 -0.0 0.0012106787239245364 -0.0; -0.0 -0.007146538366417141 -0.0 0.001214108410112786; 0.0011988254303178284 -0.0 -0.007125108044033601 -0.0; -0.0 0.0012022571191329424 -0.0 -0.007307528179856054]
[-0.22036651715913175 0.0 0.03393318743664214 -0.0; -0.0 0.170299927514296 -0.0 0.03394559392600954; 0.03393325844179207 0.0 0.170181747990648 -0.0; -0.0 0.033945665118157664 -0.0 -0.22037317922359906]	[-0.012126360383571483 -0.0 0.00200960109305459 -0.0; -0.0 -0.011890225238532726 -0.0 0.002015155246676168; 0.0019977439250478753 -0.0 -0.011855022722153885 -0.0; -0.0 0.002003300036034894 -0.0 -0.012157126582897637]
[-0.2198515386067172 -0.0 0.03382742681782708 -0.0; -0.0 0.16999229990195802 -0.0 0.03383832441790163; 0.03382752609719325 -0.0 0.16987551291026906 -0.0; -0.0 0.03383842395899961 -0.0 -0.21985184430499283]	[-0.016932472540711174 -0.0 0.0028022095337640694 0.0; 0.0 -0.016603150601933875 -0.0 0.002809652576948707; 0.002790346585916431 -0.0 -0.016554917428248356 0.0; -0.0 0.0027977915206292172 -0.0 -0.016973870904071625]
[-0.2191696131525629 -0.0 0.033687629593308066 -0.0; -0.0 0.169584032208816 -0.0 0.0336966153490203; 0.033687757018906916 -0.0 0.169469077337538 -0.0; -0.0 0.033696743111089944 -0.0 -0.2191618712594941]	[-0.0216947092839484 -0.0 0.0035860894841124504 0.0; 0.0 -0.021273492987865822 -0.0 0.003595107920615015; 0.0035742188884386006 -0.0 -0.021213210959335177 0.0; -0.0 0.0035832391323120773 -0.0 -0.021745163435297504]
[-0.21832467858693683 -0.0 0.03351480350183472 -0.0; -0.0 0.16907672327386436 -0.0 0.033521552252104625; 0.03351495890897688 -0.0 0.16896402982245948 -0.0; -0.0 0.03352170807049237 -0.0 -0.2183075345639539]	[-0.026401314839512524 -0.0 0.004358933938383812 0.0; 0.0 -0.02588989259419766 -0.0 0.004369151420846484; 0.004347053875770292 -0.0 -0.025818736714589008 0.0; -0.0 0.004357273065836025 -0.0 -0.02645892994500565]
[-0.21732153415272526 -0.0 0.03331017056056623 -0.0; -0.0 0.16847233720365698 -0.0 0.03331444539221007; 0.033310353747831756 -0.0 0.16836232983666558 -0.0; -0.0 0.033314629065503254 -0.0 -0.21729401929103181]	[-0.031041092831447903 -0.0 0.005118568904584352 0.0; 0.0 -0.0304415562478903 -0.0 0.005129563897310785; 0.00510667761534032 -0.0 -0.030360844344285598 0.0; -0.0 0.005117674203272871 -0.0 -0.031103741672137142]
[-0.216165764519614 -0.0 0.03307514409752671 -0.0; -0.0 0.1677731859509542 -0.0 0.0330768020261929; 0.033075354826820724 -0.0 0.16766629048646436 -0.0; -0.0 0.03307701331616242 -0.0 -0.21612732518271438]	[-0.035603503459203434 -0.0 0.005862975273915513 0.0; 0.0 -0.03491834695487622 -0.0 0.005874300188223075; 0.00585107106730178 -0.0 -0.03482948979082667 0.0; -0.0 0.005862397454874022 -0.0 -0.035668919180892766]
[-0.21486365409841218 -0.0 0.03281130314885344 -0.0; -0.0 0.16698191078279795 -0.0 0.03281029604526481; 0.03281154114558238 -0.0 0.1668785580200467 -0.0; -0.0 0.03281053467688755 -0.0 -0.21481416036615997]	[-0.040078746196566206 -0.0 0.0065903066779719535 0.0; -0.0 -0.03931085770854381 -0.0 0.00660150730306272; 0.006578387940585049 -0.0 -0.03921531216671642 -0.0; -0.0 0.006589589910503425 -0.0 -0.04014461636650507]
[-0.21342209422068542 -0.0 0.03252036508581141 -0.0; -0.0 0.16610146211208265 -0.0 0.03251673617009154; 0.03252063003921296 -0.0 0.16600208833059593 -0.0; -0.0 0.03251700183171058 -0.0 -0.213361828637744]	[-0.044457826853727234 -0.0 0.007298903087766893 0.0; -0.0 -0.043610469556289444 -0.0 0.007309537191838245; 0.007286968290690802 -0.0 -0.0435096964196533 -0.0; -0.0 0.007297603607560586 -0.0 -0.04452188382507949]
